tx,block,log_index,timestamp,timestamp_utc,MOO_raw,mCELO_raw,mCELO_per_MOO
0x9f288bc7fa49ac6a85c98214b59b15134cd2df34e5c00987213998881052fb77,15688864,348,1666112314,2022-10-18T16:58:34+00:00,428371448292949524389362,1501964163304657978770418,3.50621912195584229177797013642609501937791707031634659554697
0xe5206aed54d125839689ac1470f73acbbc7cc9f5ae9eeb0a043e2bf5ca9b9330,15688867,66,1666112329,2022-10-18T16:58:49+00:00,428375724424271709982087,1501949909777425121871619,3.50615084875786403296274167707318737044574587249951619997958
0x3c58ef5203f2a920fa3129ee0fae4406c5b32f02e45240b9b8726cd2c22c96f1,15688876,197,1666112374,2022-10-18T16:59:34+00:00,428376220560192175576431,1501950258644822276687844,3.50614760240590811367631688880180318178803601923404502594864
0x960a595673ec531a58fdd6fb327cf2cdd1df9b3e080e13d7bafd16bb00f67ca9,15688877,97,1666112379,2022-10-18T16:59:39+00:00,428384367828677827082118,1501922010819085897414575,3.50601498003247401893148239563932454380678833204320521870294
0xb00acf64aecf4811eb591d89fc1010cc37f7b0bf14f2231aa83ed682bfe5d277,15688880,151,1666112394,2022-10-18T16:59:54+00:00,451004783140103659258271,1581230220132929293601164,3.50601651965567635626927692653515722270760897865073085906467
0xce1279ef3e5e437a7a1676e995049016031cae96f5965ac13703501f9edbb5b1,15688881,283,1666112399,2022-10-18T16:59:59+00:00,451009076075439810308116,1581215458007544981669095,3.50595041626846717230174212518806224676927076560895664187996
0xbcd06ef3fc37b13f0e9bc8693357e2ff2865b3e85f5137fcb2e02d7583ceb90c,15688887,103,1666112429,2022-10-18T17:00:29+00:00,451017135796413245156027,1581188748320195380596662,3.50582854358317693016465155690543580431337630770572507324885
0xd02db4a5bea0b227ee213693f447b351a0d7378ca4e663fa60825de3e134f114,15688887,155,1666112429,2022-10-18T17:00:29+00:00,451025387558718591727622,1581159906370268136595887,3.50570045497587060520139825302805976050401164554095990276998
0x50157b49746f54078731d4dfb9d74bbf87c5140dc0850c54cc0502e8b6bad5fc,15688889,105,1666112439,2022-10-18T17:00:39+00:00,451026378015976439961420,1581156931846899943378476,3.50568616142200791390728004824497479849074352607308407408952
0x075a725962581c4745ea8aed171fb068b89bf01663b63f201e3c41150c8528a1,15688892,88,1666112454,2022-10-18T17:00:54+00:00,451030919699110049791767,1581141789003349644350434,3.50561728685508890441786687748490163757893550399018663187616
0x846fda2382e8c3e8af9b27e902c4e94068b0a3467e68c1c337755d1281a06517,15688893,109,1666112459,2022-10-18T17:00:59+00:00,451054931255203945203001,1581058114305569854072498,3.50524515917777974706723110770978795629516622298890538134169
